,country,indicator,date,year_week,value,source,url
0,Austria,Daily hospital occupancy per 100k,2020-04-01,2020-W14,856.0,Country_Website,
1,Austria,Daily hospital occupancy per 100k,2020-04-02,2020-W14,823.0,Country_Website,
2,Austria,Daily hospital occupancy per 100k,2020-04-03,2020-W14,829.0,Country_Website,
3,Austria,Daily hospital occupancy per 100k,2020-04-04,2020-W14,826.0,Country_Website,
4,Austria,Daily hospital occupancy per 100k,2020-04-05,2020-W14,712.0,Country_Website,
5,Austria,Daily hospital occupancy per 100k,2020-04-06,2020-W15,824.0,Country_Website,
6,Austria,Daily hospital occupancy per 100k,2020-04-07,2020-W15,857.0,Country_Website,
7,Austria,Daily hospital occupancy per 100k,2020-04-08,2020-W15,829.0,Country_Website,
8,Austria,Daily hospital occupancy per 100k,2020-04-09,2020-W15,820.0,Country_Website,
9,Austria,Daily hospital occupancy per 100k,2020-04-10,2020-W15,771.0,Country_Website,
10,Austria,Daily hospital occupancy per 100k,2020-04-11,2020-W15,790.0,Country_Website,
11,Austria,Daily hospital occupancy per 100k,2020-04-12,2020-W15,792.0,Country_Website,
12,Austria,Daily hospital occupancy per 100k,2020-04-13,2020-W16,742.0,Country_Website,
13,Austria,Daily hospital occupancy per 100k,2020-04-14,2020-W16,759.0,Country_Website,
14,Austria,Daily hospital occupancy per 100k,2020-04-15,2020-W16,769.0,Country_Website,
15,Austria,Daily hospital occupancy per 100k,2020-04-16,2020-W16,729.0,Country_Website,
16,Austria,Daily hospital occupancy per 100k,2020-04-17,2020-W16,682.0,Country_Website,
17,Austria,Daily hospital occupancy per 100k,2020-04-18,2020-W16,647.0,Country_Website,
18,Austria,Daily hospital occupancy per 100k,2020-04-19,2020-W16,613.0,Country_Website,
19,Austria,Daily hospital occupancy per 100k,2020-04-20,2020-W17,611.0,Country_Website,
20,Austria,Daily hospital occupancy per 100k,2020-04-21,2020-W17,560.0,Country_Website,
21,Austria,Daily hospital occupancy per 100k,2020-04-22,2020-W17,524.0,Country_Website,
22,Austria,Daily hospital occupancy per 100k,2020-04-23,2020-W17,508.0,Country_Website,
23,Austria,Daily hospital occupancy per 100k,2020-04-24,2020-W17,495.0,Country_Website,
24,Austria,Daily hospital occupancy per 100k,2020-04-25,2020-W17,460.0,Country_Website,
25,Austria,Daily hospital occupancy per 100k,2020-04-26,2020-W17,449.0,Country_Website,
26,Austria,Daily hospital occupancy per 100k,2020-04-27,2020-W18,439.0,Country_Website,
27,Austria,Daily hospital occupancy per 100k,2020-04-28,2020-W18,425.0,Country_Website,
28,Austria,Daily hospital occupancy per 100k,2020-04-29,2020-W18,386.0,Country_Website,
29,Austria,Daily hospital occupancy per 100k,2020-04-30,2020-W18,372.0,Country_Website,
30,Austria,Daily hospital occupancy per 100k,2020-05-01,2020-W18,348.0,Country_Website,
31,Austria,Daily hospital occupancy per 100k,2020-05-02,2020-W18,314.0,Country_Website,
32,Austria,Daily hospital occupancy per 100k,2020-05-03,2020-W18,308.0,Country_Website,
33,Austria,Daily hospital occupancy per 100k,2020-05-04,2020-W19,309.0,Country_Website,
