,Period,countriesAndTerritories,cases,deaths,popData2020,Percentage
0,2020Q1,Spain,167645,10389,47332614,0.354
1,2020Q1,Italy,105792,12428,59641488,0.177
2,2020Q1,Germany,74061,2683,83166711,0.089
3,2020Q1,France,52128,3523,67320216,0.077
4,2020Q1,Belgium,16977,1420,11522440,0.147
5,2020Q1,Netherlands,12449,1018,17407585,0.072
6,2020Q1,Austria,7312,124,8901064,0.082
7,2020Q1,Portugal,7251,214,10295909,0.07
8,2020Q1,Norway,5107,26,5367580,0.095
9,2020Q1,Sweden,4834,332,10327589,0.047
10,2020Q2,Italy,134786,22339,59641488,0.226
11,2020Q2,Germany,120893,6587,83166711,0.145
12,2020Q2,France,112673,26300,67320216,0.167
13,2020Q2,Spain,93346,19373,47332614,0.197
14,2020Q2,Sweden,63033,5143,10327589,0.61
15,2020Q2,Belgium,45007,8323,11522440,0.391
16,2020Q2,Netherlands,37598,5066,17407585,0.216
17,2020Q2,Portugal,35673,1368,10295909,0.346
18,2020Q2,Poland,32082,1430,37958138,0.085
19,2020Q2,Romania,24725,1569,19328838,0.128
20,2020Q3,Spain,575532,4589,47332614,1.216
21,2020Q3,France,398734,2109,67320216,0.592
22,2020Q3,Romania,100602,3174,19328838,0.52
23,2020Q3,Germany,98995,602,83166711,0.119
24,2020Q3,Italy,74283,1127,59641488,0.125
25,2020Q3,Netherlands,70530,321,17407585,0.405
26,2020Q3,Belgium,63834,414,11522440,0.554
27,2020Q3,Czechia,58799,328,10693939,0.55
28,2020Q3,Poland,57121,1050,37958138,0.15
29,2020Q3,Portugal,34439,401,10295909,0.334
30,2020Q4,France,2056890,32674,67320216,3.055
31,2020Q4,Italy,1792305,38265,59641488,3.005
32,2020Q4,Germany,1460483,41282,83166711,1.756
33,2020Q4,Poland,1203364,26041,37958138,3.17
34,2020Q4,Spain,1180775,20254,47332614,2.495
35,2020Q4,Netherlands,674961,4998,17407585,3.877
36,2020Q4,Czechia,662653,11341,10693939,6.197
37,2020Q4,Belgium,524222,9691,11522440,4.55
38,2020Q4,Romania,504691,10942,19328838,2.611
39,2020Q4,Sweden,360917,3972,10327589,3.495
40,2021Q1,France,2023998,31034,67320216,3.007
41,2021Q1,Italy,1476278,35187,59641488,2.475
42,2021Q1,Spain,1325289,23320,47332614,2.8
43,2021Q1,Germany,1085469,31905,83166711,1.305
44,2021Q1,Poland,1026839,24491,37958138,2.705
45,2021Q1,Czechia,811691,15112,10693939,7.59
46,2021Q1,Netherlands,476152,5128,17407585,2.735
47,2021Q1,Slovakia,425349,7540,5457873,7.793
48,2021Q1,Portugal,406514,9864,10295909,3.948
49,2021Q1,Sweden,358264,3791,10327589,3.469
50,2021Q2,France,1130878,15442,67320216,1.68
51,2021Q2,Germany,888207,9575,83166711,1.068
52,2021Q2,Italy,676465,18220,59641488,1.134
53,2021Q2,Poland,558195,21976,37958138,1.471
54,2021Q2,Spain,535698,4269,47332614,1.132
55,2021Q2,Netherlands,412910,1211,17407585,2.372
56,2021Q2,Sweden,277488,1025,10327589,2.687
57,2021Q2,Belgium,193903,2118,11522440,1.683
58,2021Q2,Greece,158767,0,10718565,1.481
59,2021Q2,Hungary,155695,9255,9769526,1.594
60,2021Q3,France,1238131,5608,67320216,1.839
61,2021Q3,Spain,1114164,5822,47332614,2.354
62,2021Q3,Germany,514274,2877,83166711,0.618
63,2021Q3,Italy,412446,3355,59641488,0.692
64,2021Q3,Netherlands,318118,426,17407585,1.827
65,2021Q3,Greece,233311,14828,10718565,2.177
66,2021Q3,Portugal,198724,877,10295909,1.93
67,2021Q3,Belgium,159581,446,11522440,1.385
68,2021Q3,Romania,152876,3255,19328838,0.791
69,2021Q3,Ireland,117596,251,4964440,2.369
70,2021Q4,France,2959368,7051,67320216,4.396
71,2021Q4,Germany,2952749,22777,83166711,3.55
72,2021Q4,Spain,1838335,3439,47332614,3.884
73,2021Q4,Italy,1453328,6481,59641488,2.437
74,2021Q4,Poland,1201144,21404,37958138,3.164
75,2021Q4,Netherlands,1128856,2749,17407585,6.485
76,2021Q4,Belgium,885792,2640,11522440,7.688
77,2021Q4,Czechia,787729,5802,10693939,7.366
78,2021Q4,Romania,575223,21711,19328838,2.976
79,2021Q4,Slovakia,569192,4016,5457873,10.429
80,2022Q1,France,15642043,18532,67320216,23.235
81,2022Q1,Germany,14337869,18075,83166711,17.24
82,2022Q1,Italy,8516671,21981,59641488,14.28
83,2022Q1,Spain,4762082,12313,47332614,10.061
84,2022Q1,Netherlands,4727250,1062,17407585,27.156
85,2022Q1,Austria,2599732,2185,8901064,29.207
86,2022Q1,Portugal,2336007,2762,10295909,22.689
87,2022Q1,Denmark,2286094,2467,5822763,39.261
88,2022Q1,Greece,1819576,6720,10718565,16.976
89,2022Q1,Poland,1770193,18119,37958138,4.664
90,2022Q2,Germany,6830657,7391,83166711,8.213
91,2022Q2,France,5474911,7260,67320216,8.133
92,2022Q2,Italy,3880757,8970,59641488,6.507
93,2022Q2,Spain,3636307,4475,47332614,7.682
94,2022Q2,Portugal,1427465,2441,10295909,13.864
95,2022Q2,Greece,646073,2722,10718565,6.028
96,2022Q2,Austria,586570,1019,8901064,6.59
97,2022Q2,Belgium,388325,1090,11522440,3.37
98,2022Q2,Netherlands,325309,396,17407585,1.869
99,2022Q2,Finland,230771,1294,5525292,4.177
100,2022Q3,Germany,5058149,7508,83166711,6.082
101,2022Q3,France,4307356,5579,67320216,6.398
102,2022Q3,Italy,3944167,8739,59641488,6.613
103,2022Q3,Greece,1243690,2879,10718565,11.603
104,2022Q3,Spain,731828,5573,47332614,1.546
105,2022Q3,Austria,682264,747,8901064,7.665
106,2022Q3,Romania,318611,1321,19328838,1.648
107,2022Q3,Portugal,304946,828,10295909,2.962
108,2022Q3,Belgium,296782,745,11522440,2.576
109,2022Q3,Netherlands,246712,275,17407585,1.417
110,2022Q4,Germany,1865884,1491,83166711,2.244
111,2022Q4,France,1215517,1397,67320216,1.806
112,2022Q4,Italy,892402,1541,59641488,1.496
113,2022Q4,Austria,261399,216,8901064,2.937
114,2022Q4,Greece,215008,463,10718565,2.006
115,2022Q4,Spain,65031,294,47332614,0.137
116,2022Q4,Netherlands,63860,121,17407585,0.367
117,2022Q4,Belgium,55667,200,11522440,0.483
118,2022Q4,Hungary,47371,435,9769526,0.485
119,2022Q4,Czechia,44148,388,10693939,0.413
