ReportingCountry,Vaccine,TargetGroup
AT,AZ,Age25_49
AT,COM,Age25_49
AT,COMBA.1,Age60_69
AT,COMBA.4-5,Age25_49
AT,JANSS,Age25_49
AT,MOD,Age25_49
AT,MODBA.1,Age25_49
AT,NVXD,Age25_49
AT,SGSK,Age25_49
AT,UNK,Age25_49
AT,VLA,Age25_49
BE,AZ,Age50_59
BE,COM,Age25_49
BE,COMBA.1,Age60_69
BE,COMBA.4-5,Age25_49
BE,JANSS,Age25_49
BE,MOD,Age25_49
BE,MODBA.1,Age25_49
BE,NVXD,Age25_49
BG,AZ,Age25_49
BG,COM,Age25_49
BG,JANSS,Age25_49
BG,MOD,Age25_49
CY,AZ,Age25_49
CY,COM,Age25_49
CY,COMBA.1,Age25_49
CY,COMBA.4-5,Age70_79
CY,JANSS,Age25_49
CY,MOD,Age25_49
CY,MODBA.1,Age60_69
CY,MODBA.4-5,Age60_69
CY,NVXD,Age25_49
CZ,AZ,Age70_79
CZ,COM,Age25_49
CZ,COMBA.1,Age70_79
CZ,COMBA.4-5,Age70_79
CZ,JANSS,Age25_49
CZ,MOD,Age25_49
CZ,MODBA.1,Age70_79
CZ,MODBA.4-5,Age25_49
CZ,NVXD,Age25_49
DE,UNK,1_Age<60
DK,AZ,HCW
DK,COM,Age25_49
DK,COMBA.1,Age70_79
DK,COMBA.4-5,Age50_59
DK,JANSS,Age25_49
DK,MOD,Age25_49
EE,AZ,Age60_69
EE,COM,Age25_49
EE,COMBA.1,Age60_69
EE,COMBA.4-5,Age25_49
EE,JANSS,Age25_49
EE,MOD,Age25_49
EE,MODBA.1,Age60_69
EE,MODBA.4-5,Age25_49
EE,NVXD,Age25_49
EL,AZ,1_Age60+
EL,COM,1_Age<60
EL,COMBA.1,1_Age60+
EL,COMBA.4-5,1_Age60+
EL,JANSS,1_Age<60
EL,MOD,1_Age<60
EL,NVXD,1_Age<60
ES,AZ,Age60_69
ES,COM,Age25_49
ES,COMBIV,Age70_79
ES,JANSS,Age25_49
ES,MOD,Age25_49
ES,MODBIV,Age80+
FI,AZ,Age60_69
FI,COM,Age25_49
FI,COMBA.1,Age0_4
FI,COMBA.4-5,Age0_4
FI,JANSS,Age0_4
FI,MOD,Age25_49
FI,NVXD,Age0_4
FI,UNK,Age70_79
FI,VLA,Age0_4
FR,UNK,Age25_49
HR,AZ,Age70_79
HR,COM,Age25_49
HR,JANSS,Age25_49
HR,MOD,Age25_49
HR,NVXD,Age25_49
HR,UNK,Age25_49
HU,AZ,Age25_49
HU,BECNBG,Age25_49
HU,COM,Age25_49
HU,COMBA.1,Age70_79
HU,JANSS,Age25_49
HU,MOD,Age25_49
HU,SPU,Age25_49
IE,AZ,Age60_69
IE,COM,Age25_49
IE,COMBA.1,Age70_79
IE,COMBA.4-5,Age25_49
IE,JANSS,Age25_49
IE,MOD,Age25_49
IE,MODBA.1,Age60_69
IE,MODBA.4-5,Age25_49
IE,NVXD,Age25_49
IS,AZ,Age60_69
IS,COM,Age25_49
IS,COMBA.1,Age60_69
IS,COMBA.4-5,Age70_79
IS,JANSS,Age25_49
IS,MOD,Age25_49
IS,NVXD,Age18_24
IS,UNK,Age18_24
IT,AZ,Age70_79
IT,COM,Age25_49
IT,COMBA.1,Age70_79
IT,COMBA.4-5,Age70_79
IT,JANSS,Age60_69
IT,MOD,Age25_49
IT,MODBA.1,Age70_79
IT,MODBA.4-5,Age70_79
IT,NVXD,Age25_49
IT,SGSK,HCW
LI,COM,Age25_49
LI,COMBA.1,Age70_79
LI,JANSS,Age25_49
LI,MOD,Age25_49
LI,MODBA.1,Age70_79
LI,NVXD,Age25_49
LT,AZ,Age25_49
LT,COM,Age25_49
LT,JANSS,Age25_49
LT,MOD,Age25_49
LT,UNK,Age70_79
LU,AZ,Age25_49
LU,COM,Age25_49
LU,COMBA.1,Age60_69
LU,COMBA.4-5,Age60_69
LU,JANSS,Age25_49
LU,MOD,Age25_49
LU,MODBA.1,Age10_14
LU,MODBA.4-5,Age10_14
LU,NVXD,Age25_49
LV,AZ,Age70_79
LV,COM,Age25_49
LV,COMBA.1,Age25_49
LV,COMBA.4-5,Age25_49
LV,JANSS,Age25_49
LV,MOD,Age25_49
LV,MODBA.1,Age70_79
LV,NVXD,Age25_49
LV,UNK,Age70_79
MT,AZ,Age25_49
MT,COM,Age25_49
MT,JANSS,Age25_49
MT,MOD,Age25_49
NL,AZ,Age60_69
NL,COM,Age25_49
NL,JANSS,Age25_49
NL,MOD,Age60_69
NL,NVXD,Age25_49
NL,UNK,Age60_69
NO,AZ,HCW
NO,COM,Age25_49
NO,COMBA.1,Age70_79
NO,COMBA.4-5,Age60_69
NO,JANSS,Age25_49
NO,MOD,Age25_49
NO,MODBA.1,Age60_69
NO,MODBA.4-5,Age50_59
PL,AZ,Age60_69
PL,COM,Age25_49
PL,JANSS,Age25_49
PL,MOD,Age25_49
PL,NVXD,Age25_49
PT,AZ,Age60_69
PT,BECNBG,Age25_49
PT,BHACOV,Age25_49
PT,COM,Age25_49
PT,COMBA.1,Age70_79
PT,COMBA.4-5,Age60_69
PT,JANSS,Age25_49
PT,MOD,Age25_49
PT,MODBA.1,Age60_69
PT,MODBA.4-5,Age60_69
PT,NVXD,Age25_49
PT,SGSK,Age25_49
PT,SIN,Age25_49
RO,AZ,1_Age<60
RO,COM,1_Age<60
RO,JANSS,1_Age<60
RO,MOD,1_Age<60
SE,AZ,Age70_79
SE,COM,Age25_49
SE,MOD,Age25_49
SE,NVXD,Age70_79
SE,UNK,HCW
SI,AZ,Age25_49
SI,COM,Age25_49
SI,COMBIV,Age70_79
SI,JANSS,Age25_49
SI,MOD,Age70_79
SI,MODBIV,Age70_79
SI,NVXD,Age25_49
SK,AZ,Age25_49
SK,COM,Age25_49
SK,JANSS,Age25_49
SK,MOD,Age25_49
SK,NVXD,Age25_49
SK,SPU,Age25_49
SK,UNK,Age25_49
